Date,Currency,Mean,Buy,Sell
6/26/2018,US DOLLAR,100.8283,100.7311,100.9256
6/27/2018,US DOLLAR,100.9439,100.8439,101.0439
6/28/2018,US DOLLAR,101.045,100.945,101.145
6/29/2018,US DOLLAR,101.05,100.95,101.15
7/2/2018,US DOLLAR,100.8861,100.7861,100.9861
7/3/2018,US DOLLAR,100.8411,100.7411,100.9411
7/4/2018,US DOLLAR,100.8411,100.7411,100.9411
7/5/2018,US DOLLAR,100.725,100.625,100.825
7/6/2018,US DOLLAR,100.7583,100.6583,100.8583
7/9/2018,US DOLLAR,100.8083,100.7083,100.9083
7/10/2018,US DOLLAR,100.8883,100.7883,100.9883
7/11/2018,US DOLLAR,100.9056,100.8056,101.0056
7/12/2018,US DOLLAR,100.79,100.69,100.89
7/13/2018,US DOLLAR,100.7944,100.6944,100.8944
7/16/2018,US DOLLAR,100.66,100.56,100.76
7/17/2018,US DOLLAR,100.3944,100.2944,100.4944
7/18/2018,US DOLLAR,100.6228,100.5228,100.7228
7/19/2018,US DOLLAR,100.6339,100.5339,100.7339
7/20/2018,US DOLLAR,100.7333,100.6333,100.8333
7/23/2018,US DOLLAR,100.7417,100.6417,100.8417
7/24/2018,US DOLLAR,100.55,100.45,100.65
7/25/2018,US DOLLAR,100.5139,100.4139,100.6139
7/26/2018,US DOLLAR,100.4889,100.3889,100.5889
7/27/2018,US DOLLAR,100.4639,100.3639,100.5639
7/30/2018,US DOLLAR,100.3378,100.2378,100.4378
7/31/2018,US DOLLAR,100.4083,100.3083,100.5083
8/1/2018,US DOLLAR,100.475,100.375,100.575
8/2/2018,US DOLLAR,100.4556,100.3556,100.5556
8/3/2018,US DOLLAR,100.3472,100.2472,100.4472
8/6/2018,US DOLLAR,100.3833,100.2833,100.4833
8/7/2018,US DOLLAR,100.4694,100.3694,100.5694
8/8/2018,US DOLLAR,100.4028,100.3028,100.5028
8/9/2018,US DOLLAR,100.4222,100.3222,100.5222
8/10/2018,US DOLLAR,100.3639,100.2639,100.4639
8/13/2018,US DOLLAR,100.4872,100.3872,100.5872
8/14/2018,US DOLLAR,100.7333,100.6333,100.8333
8/15/2018,US DOLLAR,100.7278,100.6278,100.8278
8/16/2018,US DOLLAR,100.7722,100.6722,100.8722
8/17/2018,US DOLLAR,100.7861,100.6861,100.8861
8/20/2018,US DOLLAR,100.8583,100.7583,100.9583
8/22/2018,US DOLLAR,100.8922,100.7922,100.9922
8/23/2018,US DOLLAR,100.6356,100.5356,100.7356
8/24/2018,US DOLLAR,100.6778,100.5778,100.7778
8/27/2018,US DOLLAR,100.7856,100.6856,100.8856
8/28/2018,US DOLLAR,100.79,100.6928,100.8872
8/29/2018,US DOLLAR,100.6778,100.5778,100.7778
8/30/2018,US DOLLAR,100.6922,100.5922,100.7922
8/31/2018,US DOLLAR,100.6456,100.5456,100.7456
9/3/2018,US DOLLAR,100.6483,100.5483,100.7483
9/4/2018,US DOLLAR,100.6572,100.5572,100.7572
9/5/2018,US DOLLAR,100.7178,100.6178,100.8178
9/6/2018,US DOLLAR,100.7133,100.6133,100.8133
9/7/2018,US DOLLAR,100.7156,100.6156,100.8156
9/10/2018,US DOLLAR,100.7206,100.6206,100.8206
9/11/2018,US DOLLAR,100.7083,100.6083,100.8083
9/12/2018,US DOLLAR,100.7472,100.6472,100.8472
